source_position_id,display_job_id,requisition_id,title,primary_location,all_locations,department,profession,discipline,seniority,posted_timestamp,posted_date,canonical_url,source_status,source_status_basis,role_type,work_site,required_travel,employment_type,captured_at,detail_retrieved,source_listing,source_detail
1970393556994456,200055122,200055122,Senior Media Strategy Manager,"United States, Washington, Redmond","[""United States, Washington, Redmond""]",Media,,,,1789604733,2026-09-17T00:25:33+00:00,https://apply.careers.microsoft.com/careers/job/1970393556994456,Open / externally posted (careers source configuration),Public UI basePositionFq requires is_externally_posted:1 and position.ats_data.status:Open,,,,,2026-09-22T10:19:28.018432+00:00,False,"{""id"": 1970393556994456, ""displayJobId"": ""200055122"", ""name"": ""Senior Media Strategy Manager"", ""locations"": [""United States, Washington, Redmond""], ""standardizedLocations"": [""Redmond, WA, US""], ""postedTs"": 1789604733, ""solrScore"": null, ""stars"": 0, ""department"": ""Media"", ""creationTs"": 1789060844, ""isHot"": 0, ""workLocationOption"": ""onsite"", ""locationFlexibility"": null, ""atsJobId"": ""200055122"", ""positionUrl"": ""/careers/job/1970393556994456""}",{}
1970393556998699,200055823,200055823,Senior Forward Deployed Engineer,"United States, Washington, Redmond","[""United States, Washington, Redmond"", ""United States, California, San Francisco"", ""United States, New York, New York""]",Software Engineering,,,,1789603379,2026-09-17T00:02:59+00:00,https://apply.careers.microsoft.com/careers/job/1970393556998699,Open / externally posted (careers source configuration),Public UI basePositionFq requires is_externally_posted:1 and position.ats_data.status:Open,,,,,2026-09-22T10:19:28.018432+00:00,False,"{""id"": 1970393556998699, ""displayJobId"": ""200055823"", ""name"": ""Senior Forward Deployed Engineer"", ""locations"": [""United States, Washington, Redmond"", ""United States, California, San Francisco"", ""United States, New York, New York""], ""standardizedLocations"": [""Redmond, WA, US"", ""San Francisco, CA, US"", ""New York, NY, US""], ""postedTs"": 1789603379, ""solrScore"": null, ""stars"": 0, ""department"": ""Software Engineering"", ""creationTs"": 1789438254, ""isHot"": 0, ""workLocationOption"": ""onsite"", ""locationFlexibility"": null, ""atsJobId"": ""200055823"", ""positionUrl"": ""/careers/job/1970393556998699""}",{}
1970393556925789,200042615,200042615,Technical Support Advisory,"Mexico City, México","[""Mexico City, México""]",Technical Support Advisory,,,,1789603206,2026-09-17T00:00:06+00:00,https://apply.careers.microsoft.com/careers/job/1970393556925789,Open / externally posted (careers source configuration),Public UI basePositionFq requires is_externally_posted:1 and position.ats_data.status:Open,,,,,2026-09-22T10:19:28.018432+00:00,False,"{""id"": 1970393556925789, ""displayJobId"": ""200042615"", ""name"": ""Technical Support Advisory"", ""locations"": [""Mexico City, México""], ""standardizedLocations"": [""México D.F., CDMX, MX""], ""postedTs"": 1789603206, ""solrScore"": null, ""stars"": 0, ""department"": ""Technical Support Advisory"", ""creationTs"": 1783360237, ""isHot"": 0, ""workLocationOption"": ""onsite"", ""locationFlexibility"": null, ""atsJobId"": ""200042615"", ""positionUrl"": ""/careers/job/1970393556925789""}",{}
1970393556998691,200055820,200055820,Senior Forward Deployed Engineer,"United States, Washington, Redmond","[""United States, Washington, Redmond"", ""United States, California, San Francisco"", ""United States, New York, New York""]",Software Engineering,,,,1789602117,2026-09-16T23:41:57+00:00,https://apply.careers.microsoft.com/careers/job/1970393556998691,Open / externally posted (careers source configuration),Public UI basePositionFq requires is_externally_posted:1 and position.ats_data.status:Open,,,,,2026-09-22T10:19:28.018432+00:00,False,"{""id"": 1970393556998691, ""displayJobId"": ""200055820"", ""name"": ""Senior Forward Deployed Engineer"", ""locations"": [""United States, Washington, Redmond"", ""United States, California, San Francisco"", ""United States, New York, New York""], ""standardizedLocations"": [""Redmond, WA, US"", ""San Francisco, CA, US"", ""New York, NY, US""], ""postedTs"": 1789602117, ""solrScore"": null, ""stars"": 0, ""department"": ""Software Engineering"", ""creationTs"": 1789437450, ""isHot"": 0, ""workLocationOption"": ""onsite"", ""locationFlexibility"": null, ""atsJobId"": ""200055820"", ""positionUrl"": ""/careers/job/1970393556998691""}",{}
1970393556998701,200055824,200055824,Principal Forward Deployed Engineer,"United States, Washington, Redmond","[""United States, Washington, Redmond"", ""United States, California, San Francisco"", ""United States, New York, New York""]",Software Engineering,,,,1789602219,2026-09-16T23:43:39+00:00,https://apply.careers.microsoft.com/careers/job/1970393556998701,Open / externally posted (careers source configuration),Public UI basePositionFq requires is_externally_posted:1 and position.ats_data.status:Open,,,,,2026-09-22T10:19:28.018432+00:00,False,"{""id"": 1970393556998701, ""displayJobId"": ""200055824"", ""name"": ""Principal Forward Deployed Engineer"", ""locations"": [""United States, Washington, Redmond"", ""United States, California, San Francisco"", ""United States, New York, New York""], ""standardizedLocations"": [""Redmond, WA, US"", ""San Francisco, CA, US"", ""New York, NY, US""], ""postedTs"": 1789602219, ""solrScore"": null, ""stars"": 0, ""department"": ""Software Engineering"", ""creationTs"": 1789439058, ""isHot"": 0, ""workLocationOption"": ""onsite"", ""locationFlexibility"": null, ""atsJobId"": ""200055824"", ""positionUrl"": ""/careers/job/1970393556998701""}",{}
1970393556998530,200055722,200055722,Principal Technical Product Manager,"United States, Washington, Redmond","[""United States, Washington, Redmond""]",Product Management,,,,1789601981,2026-09-16T23:39:41+00:00,https://apply.careers.microsoft.com/careers/job/1970393556998530,Open / externally posted (careers source configuration),Public UI basePositionFq requires is_externally_posted:1 and position.ats_data.status:Open,,,,,2026-09-22T10:19:28.018432+00:00,False,"{""id"": 1970393556998530, ""displayJobId"": ""200055722"", ""name"": ""Principal Technical Product Manager"", ""locations"": [""United States, Washington, Redmond""], ""standardizedLocations"": [""Redmond, WA, US""], ""postedTs"": 1789601981, ""solrScore"": null, ""stars"": 0, ""department"": ""Product Management"", ""creationTs"": 1789410442, ""isHot"": 0, ""workLocationOption"": ""onsite"", ""locationFlexibility"": null, ""atsJobId"": ""200055722"", ""positionUrl"": ""/careers/job/1970393556998530""}",{}
1970393556998498,200055692,200055692,Azure Solution Area Specialist,"United States, Texas, Dallas","[""United States, Texas, Dallas"", ""United States, Georgia, Atlanta""]",Digital Solution Area Specialists,,,,1789601532,2026-09-16T23:32:12+00:00,https://apply.careers.microsoft.com/careers/job/1970393556998498,Open / externally posted (careers source configuration),Public UI basePositionFq requires is_externally_posted:1 and position.ats_data.status:Open,,,,,2026-09-22T10:19:28.018432+00:00,False,"{""id"": 1970393556998498, ""displayJobId"": ""200055692"", ""name"": ""Azure Solution Area Specialist"", ""locations"": [""United States, Texas, Dallas"", ""United States, Georgia, Atlanta""], ""standardizedLocations"": [""Dallas, TX, US"", ""Atlanta, GA, US""], ""postedTs"": 1789601532, ""solrScore"": null, ""stars"": 0, ""department"": ""Digital Solution Area Specialists"", ""creationTs"": 1789407684, ""isHot"": 0, ""workLocationOption"": ""onsite"", ""locationFlexibility"": null, ""atsJobId"": ""200055692"", ""positionUrl"": ""/careers/job/1970393556998498""}",{}
1970393556999181,200055890,200055890,SAP Cloud Solution Architect,"United States, Multiple Locations, Multiple Locations","[""United States, Multiple Locations, Multiple Locations"", ""United States, Washington, Redmond""]",Cloud Solution Architecture,,,,1789600677,2026-09-16T23:17:57+00:00,https://apply.careers.microsoft.com/careers/job/1970393556999181,Open / externally posted (careers source configuration),Public UI basePositionFq requires is_externally_posted:1 and position.ats_data.status:Open,,,,,2026-09-22T10:19:28.018432+00:00,False,"{""id"": 1970393556999181, ""displayJobId"": ""200055890"", ""name"": ""SAP Cloud Solution Architect"", ""locations"": [""United States, Multiple Locations, Multiple Locations"", ""United States, Washington, Redmond""], ""standardizedLocations"": [""US"", ""Redmond, WA, US""], ""postedTs"": 1789600677, ""solrScore"": null, ""stars"": 0, ""department"": ""Cloud Solution Architecture"", ""creationTs"": 1789490999, ""isHot"": 0, ""workLocationOption"": ""onsite"", ""locationFlexibility"": null, ""atsJobId"": ""200055890"", ""positionUrl"": ""/careers/job/1970393556999181""}",{}
1970393556994446,200055117,200055117,"Senior Director, Creator Monetization - Minecraft","United States, Washington, Redmond","[""United States, Washington, Redmond"", ""United States, New York, New York"", ""United States, California, Los Angeles"", ""United States, California, San Francisco"", ""United States, Texas, Austin""]",Product Management,,,,1789600336,2026-09-16T23:12:16+00:00,https://apply.careers.microsoft.com/careers/job/1970393556994446,Open / externally posted (careers source configuration),Public UI basePositionFq requires is_externally_posted:1 and position.ats_data.status:Open,,,,,2026-09-22T10:19:28.018432+00:00,False,"{""id"": 1970393556994446, ""displayJobId"": ""200055117"", ""name"": ""Senior Director, Creator Monetization - Minecraft"", ""locations"": [""United States, Washington, Redmond"", ""United States, New York, New York"", ""United States, California, Los Angeles"", ""United States, California, San Francisco"", ""United States, Texas, Austin""], ""standardizedLocations"": [""Redmond, WA, US"", ""New York, NY, US"", ""Los Angeles, CA, US"", ""San Francisco, CA, US"", ""Austin, TX, US""], ""postedTs"": 1789600336, ""solrScore"": null, ""stars"": 0, ""department"": ""Product Management"", ""creationTs"": 1789059578, ""isHot"": 0, ""workLocationOption"": ""onsite"", ""locationFlexibility"": null, ""atsJobId"": ""200055117"", ""positionUrl"": ""/careers/job/1970393556994446""}",{}
1970393556990517,200054079,200054079,"Business Program Manager, Compliance & Ethics","United States, Washington, Redmond","[""United States, Washington, Redmond""]",Business Program Management,,,,1789600217,2026-09-16T23:10:17+00:00,https://apply.careers.microsoft.com/careers/job/1970393556990517,Open / externally posted (careers source configuration),Public UI basePositionFq requires is_externally_posted:1 and position.ats_data.status:Open,,,,,2026-09-22T10:19:28.018432+00:00,False,"{""id"": 1970393556990517, ""displayJobId"": ""200054079"", ""name"": ""Business Program Manager, Compliance & Ethics"", ""locations"": [""United States, Washington, Redmond""], ""standardizedLocations"": [""Redmond, WA, US""], ""postedTs"": 1789600217, ""solrScore"": null, ""stars"": 0, ""department"": ""Business Program Management"", ""creationTs"": 1788816460, ""isHot"": 0, ""workLocationOption"": ""onsite"", ""locationFlexibility"": null, ""atsJobId"": ""200054079"", ""positionUrl"": ""/careers/job/1970393556990517""}",{}
