job_id,external_job_id,company,title,location,canonical_url,department,source_key,retrieved_at
microsoft:1970393556983226,1970393556983226,Microsoft,Product Management Intern - CTJ - TS,"United States, Washington, Redmond",https://apply.careers.microsoft.com/careers/job/1970393556983226,Product Management,microsoft,2026-09-23T08:27:32.934637+00:00
microsoft:1970393556991993,1970393556991993,Microsoft,Principal Product Manager,"United States, Washington, Redmond",https://apply.careers.microsoft.com/careers/job/1970393556991993,Product Management,microsoft,2026-09-23T08:27:32.934637+00:00
microsoft:1970393556992086,1970393556992086,Microsoft,Senior Product Manager,"United States, Washington, Redmond",https://apply.careers.microsoft.com/careers/job/1970393556992086,Product Management,microsoft,2026-09-23T08:27:32.934637+00:00
microsoft:1970393556987069,1970393556987069,Microsoft,Senior Product Manager,"United States, Washington, Redmond",https://apply.careers.microsoft.com/careers/job/1970393556987069,Product Management,microsoft,2026-09-23T08:27:32.934637+00:00
microsoft:1970393556992070,1970393556992070,Microsoft,Senior Product Manager,"United States, Washington, Redmond",https://apply.careers.microsoft.com/careers/job/1970393556992070,Product Management,microsoft,2026-09-23T08:27:32.934637+00:00
microsoft:1970393556941507,1970393556941507,Microsoft,Senior/Principal Product Manager-Advertiser Intelligence (Diagnostics & Keywords),"United States, California, Mountain View | United States, Washington, Redmond | United States, New York, New York",https://apply.careers.microsoft.com/careers/job/1970393556941507,Product Management,microsoft,2026-09-23T08:27:32.934637+00:00
microsoft:1970393556988957,1970393556988957,Microsoft,Sr. Product Manager- Windows Engineering Systems,"United States, Washington, Redmond",https://apply.careers.microsoft.com/careers/job/1970393556988957,Product Management,microsoft,2026-09-23T08:27:32.934637+00:00
microsoft:1970393556924396,1970393556924396,Microsoft,Senior Product Manager,"United States, Washington, Redmond",https://apply.careers.microsoft.com/careers/job/1970393556924396,Product Management,microsoft,2026-09-23T08:27:32.934637+00:00
microsoft:1970393556991466,1970393556991466,Microsoft,Senior Product Manager - AI Infrastructure Competitive Strategy,"United States, Washington, Redmond | United States, California, Mountain View | United States, Texas, Austin",https://apply.careers.microsoft.com/careers/job/1970393556991466,Product Management,microsoft,2026-09-23T08:27:32.934637+00:00
microsoft:1970393556985636,1970393556985636,Microsoft,Senior Product Manager- IDNA,"United States, Washington, Redmond",https://apply.careers.microsoft.com/careers/job/1970393556985636,Product Management,microsoft,2026-09-23T08:27:32.934637+00:00
microsoft:1970393556955409,1970393556955409,Microsoft,Senior Product Manager,"United States, Washington, Redmond",https://apply.careers.microsoft.com/careers/job/1970393556955409,Product Management,microsoft,2026-09-23T08:27:32.934637+00:00
microsoft:1970393556985606,1970393556985606,Microsoft,Principal Product Manager,"United States, Washington, Redmond",https://apply.careers.microsoft.com/careers/job/1970393556985606,Product Management,microsoft,2026-09-23T08:27:32.934637+00:00
microsoft:1970393556982816,1970393556982816,Microsoft,Principal Product Manager- Agentic Security,"United States, Multiple Locations, Multiple Locations",https://apply.careers.microsoft.com/careers/job/1970393556982816,Product Management,microsoft,2026-09-23T08:27:32.934637+00:00
microsoft:1970393556983966,1970393556983966,Microsoft,Principal Product Manager,"India, Karnataka, Bangalore",https://apply.careers.microsoft.com/careers/job/1970393556983966,Product Management,microsoft,2026-09-23T08:27:32.934637+00:00
microsoft:1970393556986887,1970393556986887,Microsoft,Senior Technical Product Manager,"United States, Washington, Redmond",https://apply.careers.microsoft.com/careers/job/1970393556986887,Product Management,microsoft,2026-09-23T08:27:32.934637+00:00
